Airline,Source,Destination,Duration,Total stops,Price,Date,Market
Air France,NYC,PAR,440,0,278.37,2022-02-01,NYC-PAR
Air France,NYC,PAR,430,0,334.26,2022-02-01,NYC-PAR
Air France,NYC,PAR,440,0,334.26,2022-02-01,NYC-PAR
Air France,NYC,PAR,450,0,334.26,2022-02-01,NYC-PAR
Lufthansa,NYC,PAR,425,0,365.31,2022-02-01,NYC-PAR
American Airlines,NYC,PAR,440,0,365.31,2022-02-01,NYC-PAR
United Airlines,NYC,PAR,425,0,366.66,2022-02-01,NYC-PAR
JetBlue,NYC,PAR,440,0,441.18,2022-02-01,NYC-PAR
TAP AIR PORTUGAL,NYC,PAR,655,1,277.29,2022-02-01,NYC-PAR
"Finnair, Iberia",NYC,PAR,655,1,291.6,2022-02-01,NYC-PAR
"Finnair, Air France",NYC,PAR,615,1,322.11,2022-02-01,NYC-PAR
SAS,NYC,PAR,660,1,355.05,2022-02-01,NYC-PAR
"TAP AIR PORTUGAL, Vueling",NYC,PAR,995,1,271.89,2022-02-01,NYC-PAR
"Finnair, Air Europa",NYC,PAR,980,1,280.53,2022-02-01,NYC-PAR
"TAP AIR PORTUGAL, Transavia France",NYC,PAR,770,1,287.01,2022-02-01,NYC-PAR
"Finnair, Iberia",NYC,PAR,820,1,291.6,2022-02-01,NYC-PAR
"Finnair, Air France",NYC,PAR,695,1,339.39,2022-02-01,NYC-PAR
United Airlines,NYC,PAR,545,1,366.66,2022-02-01,NYC-PAR
United Airlines,NYC,PAR,609,1,366.66,2022-02-01,NYC-PAR
United Airlines,NYC,PAR,623,1,366.66,2022-02-01,NYC-PAR
United Airlines,NYC,PAR,650,1,366.66,2022-02-01,NYC-PAR
United Airlines,NYC,PAR,660,1,366.66,2022-02-01,NYC-PAR
United Airlines,NYC,PAR,700,1,366.66,2022-02-01,NYC-PAR
United Airlines,NYC,PAR,715,1,366.66,2022-02-01,NYC-PAR
United Airlines,NYC,PAR,760,1,366.66,2022-02-01,NYC-PAR
United Airlines,NYC,PAR,761,1,366.66,2022-02-01,NYC-PAR
Delta,NYC,PAR,610,1,369.9,2022-02-01,NYC-PAR
